Região_de_Saude,Casos,População_Total,População_Normalizada,casos_normalizados_cem_mil,casos_normalizados,PRECIPITAÇÃO_NORMALIZADA,TEMP_MAX_NORMALIZADA,TEMP_MIN_NORMALIZADA,UMIDADE_MAX_NORMALIZADA,UMIDADE_MIN_NORMALIZADA,Ano
. Cruzeiro,278.0,3151400,0.0676285435384584,8.821476169321572,0.0237515225334957,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Lago Norte,422.0,3582100,0.0783537860828336,11.780798972669665,0.0362797981555594,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Lago Sul,300.0,2937700,0.0623070103791063,10.21207066752902,0.0256655646424221,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Plano Piloto,1658.0,20618300,0.5025873060143037,8.041400115431438,0.143814163911606,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Sudoeste Octogonal,220.0,5003300,0.1137443472717493,4.397097915375852,0.0187054115190534,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Varjão,662.0,879300,0.0110489670697452,75.28716024110088,0.0571602575256655,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Candangolândia,365.0,1601900,0.0290430703030061,22.785442287283853,0.0313206890551592,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Estrutural,563.0,3068700,0.0655691575193736,18.34653110437645,0.0485470680354967,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Guará,1828.0,10784700,0.2577121142697771,16.949938338572238,0.1586044892987645,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Núcleo Bandeirante,591.0,2313400,0.0467607625953742,25.546814212846893,0.0509831216286758,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Park Way,280.0,2034500,0.0398156264318584,13.762595232243797,0.0239255263615799,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Riacho Fundo I,834.0,3529100,0.0770339860947865,23.6320875010626,0.0721245867409083,0.3224699497949727,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. Riacho Fundo II,384.0,3710800,0.081558658883997,10.348172900722217,0.0329737254219592,0.3224699497949727,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. SIA,6.0,435600,0.0,1.3774104683195594,8.700191404210893e-05,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Jardim Botânico,227.0,3586500,0.0784633543837281,6.329290394535062,0.0193144249173481,0.2986135371834422,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. Itapoã,2439.0,5208900,0.1188641751499093,46.82370558083281,0.2117626587784931,0.2986135371834422,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. Paranoá,2947.0,4828100,0.1093815367452238,61.038503759242765,0.2559596311118844,0.2986135371834422,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. São Sebastião,3129.0,7457000,0.1748461063410163,41.96057395735551,0.2717939794675483,0.2986135371834422,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. Fercal,519.0,876300,0.0109742614100444,59.22629236562821,0.0447189838176439,0.3781374798253241,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Planaltina,5667.0,17265700,0.4191012411100265,32.822300862403495,0.4926048373064207,0.3781374798253241,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Sobradinho,1781.0,7025200,0.1640934717214176,25.351591413767583,0.1545153993387854,0.3781374798253241,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Sobradinho II,2546.0,8083000,0.1904346873319122,31.498206111592232,0.2210718635809987,0.3781374798253241,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Brazlândia,1310.0,5797400,0.1335189353945454,22.596336288681133,0.1135374978249521,0.4383921467104293,0.3898776629693247,0.3729053045122449,0.0305289047508841,0.0287486602814552,2019
. Ceilândia,4163.0,40593200,1.0,10.255412236532226,0.3617539585870889,0.4383921467104293,0.3898776629693247,0.3729053045122449,0.0305289047508841,0.0287486602814552,2019
. Águas Claras,862.0,9892800,0.2355021216407355,8.71340773087498,0.0745606403340873,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Recanto Das Emas,1995.0,12361500,0.2969774090085065,16.138818104598958,0.1731338089437967,0.3224699497949727,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. Samambaia,2547.0,20123000,0.490253401597705,12.657158475376436,0.2211588654950408,0.3224699497949727,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. Taguatinga,1951.0,20570200,0.5013895252704345,9.4845942188214,0.1693057247259439,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Vicente Pires,721.0,6106600,0.1412185987210391,11.806897455212392,0.0622933704541499,0.3757493147128287,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Gama,910.0,13454900,0.3242051317807837,6.763335290488967,0.0787367322081085,0.3224699497949727,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. Santa Maria,885.0,11969100,0.2872059087196446,7.394039652104168,0.0765616843570558,0.3224699497949727,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
Angra dos Reis,1764.0,16743400,0.4060949857561209,10.535494582940144,0.1530363668000696,0.8299177154182593,0.7439329690726522,0.7711364918877106,0.9550241056073168,0.9458831033465356,2019
Campos de Goytacazes,177.0,4835400,0.1095633205171623,3.6605037845886574,0.0149643292152427,0.2450448130732333,0.9827922052985392,0.94469659198601,0.5908807423507528,0.62210020049505,2019
Macaé,207.0,24639100,0.6027128115226009,0.8401280890941634,0.017574386636506,0.4467067328351106,0.7881996719170757,0.7958375157582795,0.817093048985576,0.8414472307542695,2019
Arraial do Cabo,69.0,3098600,0.0663137239277247,2.226812108694249,0.0055681224986949,0.2177588411992834,0.8580705029321004,0.9590612123507928,0.8635293310592952,0.9339674906519224,2019
. Cruzeiro,359.0,3151400,0.0676285435384584,11.391762391318144,0.0307986775709065,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Lago Norte,512.0,3582100,0.0783537860828336,14.293291644566038,0.0441099704193492,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Lago Sul,460.0,2937700,0.0623070103791063,15.65850835687783,0.0395858708891595,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Plano Piloto,2008.0,20618300,0.5025873060143037,9.738921249569556,0.1742648338263441,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Sudoeste Octogonal,179.0,5003300,0.1137443472717493,3.577638758419443,0.0151383330433269,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Varjão,126.0,879300,0.0110489670697452,14.329580348004097,0.0105272315990951,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Candangolândia,261.0,1601900,0.0290430703030061,16.29315188213996,0.0222724899947798,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Estrutural,237.0,3068700,0.0655691575193736,7.723140091895591,0.0201844440577692,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Guará,2887.0,10784700,0.2577121142697771,26.76940480495517,0.2507395162693579,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Núcleo Bandeirante,251.0,2313400,0.0467607625953742,10.849831416962047,0.0214024708543587,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Park Way,202.0,2034500,0.0398156264318584,9.92872941754731,0.0171393770662954,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Riacho Fundo I,568.0,3529100,0.0770339860947865,16.09475503669491,0.0489820776057073,0.6284799806864777,0.3177152793364907,0.2549614914196199,0.1851101934259666,0.1562570973249569,2020
. Riacho Fundo II,515.0,3710800,0.081558658883997,13.878408968416515,0.0443709761614755,0.6284799806864777,0.3177152793364907,0.2549614914196199,0.1851101934259666,0.1562570973249569,2020
. SIA,14.0,435600,0.0,3.2139577594123048,0.0007830172263789,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Jardim Botânico,443.0,3586500,0.0784633543837281,12.3518750871323,0.0381068383504437,0.739962598351791,0.1265571854230077,0.1496651553403304,0.4903123468245211,0.4518856252144085,2020
. Itapoã,568.0,5208900,0.1188641751499093,10.904413599800344,0.0489820776057073,0.739962598351791,0.1265571854230077,0.1496651553403304,0.4903123468245211,0.4518856252144085,2020
. Paranoá,656.0,4828100,0.1093815367452238,13.587125370228454,0.0566382460414129,0.739962598351791,0.1265571854230077,0.1496651553403304,0.4903123468245211,0.4518856252144085,2020
. São Sebastião,2736.0,7457000,0.1748461063410163,36.69035805283627,0.2376022272489995,0.739962598351791,0.1265571854230077,0.1496651553403304,0.4903123468245211,0.4518856252144085,2020
. Fercal,257.0,876300,0.0109742614100444,29.32785575716079,0.0219244823386114,0.4752548456661365,0.0340845928688142,0.0467123976670101,0.3833408671587844,0.3687315022812872,2020
. Planaltina,2577.0,17265700,0.4191012411100265,14.925546024777448,0.2237689229163041,0.4752548456661365,0.0340845928688142,0.0467123976670101,0.3833408671587844,0.3687315022812872,2020
. Sobradinho,2570.0,7025200,0.1640934717214176,36.582588396059904,0.2231599095180094,0.4752548456661365,0.0340845928688142,0.0467123976670101,0.3833408671587844,0.3687315022812872,2020
. Sobradinho II,2735.0,8083000,0.1904346873319122,33.8364468637882,0.2375152253349573,0.4752548456661365,0.0340845928688142,0.0467123976670101,0.3833408671587844,0.3687315022812872,2020
. Brazlândia,648.0,5797400,0.1335189353945454,11.177424362645324,0.055942230729076,0.7012664555884217,0.1558191583060862,0.2014300454309667,0.167594352348382,0.1721187170221227,2020
. Ceilândia,5249.0,40593200,1.0,12.930737167801505,0.4562380372368192,0.7012664555884217,0.1558191583060862,0.2014300454309667,0.167594352348382,0.1721187170221227,2020
. Águas Claras,1190.0,9892800,0.2355021216407355,12.02895034772764,0.103097268139899,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Recanto Das Emas,1384.0,12361500,0.2969774090085065,11.196052259030054,0.1199756394640682,0.6284799806864777,0.3177152793364907,0.2549614914196199,0.1851101934259666,0.1562570973249569,2020
. Samambaia,3422.0,20123000,0.490253401597705,17.00541668737266,0.2972855402818862,0.6284799806864777,0.3177152793364907,0.2549614914196199,0.1851101934259666,0.1562570973249569,2020
. Taguatinga,3425.0,20570200,0.5013895252704345,16.650299948469144,0.2975465460240125,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Vicente Pires,1986.0,6106600,0.1412185987210391,32.52218910686798,0.1723507917174178,0.4618753666774149,0.0417943532358821,0.1037927147789639,0.2551526428750603,0.2600990786274985,2020
. Gama,4735.0,13454900,0.3242051317807837,35.19164022029149,0.4115190534191752,0.6284799806864777,0.3177152793364907,0.2549614914196199,0.1851101934259666,0.1562570973249569,2020
. Santa Maria,3814.0,11969100,0.2872059087196446,31.86538670409638,0.3313902905863929,0.6284799806864777,0.3177152793364907,0.2549614914196199,0.1851101934259666,0.1562570973249569,2020
Angra dos Reis,187.0,16743400,0.4060949857561209,1.116857985833224,0.0158343483556638,0.9970131912954536,1.0,1.0,1.0,1.0,2020
Campos de Goytacazes,18.0,4835400,0.1095633205171623,0.3722546221615585,0.0011310248825474,0.3392028423243421,0.755283344824807,0.7674252098939759,0.6686082832267831,0.7026317534076142,2020
Macaé,50.0,24639100,0.6027128115226009,0.2029294901193631,0.0039150861318949,0.4901590549065496,0.6159421483052195,0.6663507913743455,0.852081606650882,0.8797775469971157,2020
Arraial do Cabo,5.0,3098600,0.0663137239277247,0.1613631962821919,0.0,0.3052402064384212,0.7098038506028185,0.8340660710249272,0.929783436848796,0.9329935212766136,2020
. Cruzeiro,92.0,3151400,0.0676285435384584,2.9193374373294407,0.0075691665216634,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Lago Norte,299.0,3582100,0.0783537860828336,8.347058987744619,0.02557856272838,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Lago Sul,127.0,2937700,0.0623070103791063,4.323109915920618,0.0106142335131372,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Plano Piloto,607.0,20618300,0.5025873060143037,2.9439866526338254,0.0523751522533495,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Sudoeste Octogonal,91.0,5003300,0.1137443472717493,1.8187995922691025,0.0074821646076213,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Varjão,42.0,879300,0.0110489670697452,4.776526782668032,0.003219070819558,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Candangolândia,43.0,1601900,0.0290430703030061,2.6843123790498784,0.0033060727336001,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Estrutural,188.0,3068700,0.0655691575193736,6.126372731123928,0.0159213502697059,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Guará,481.0,10784700,0.2577121142697771,4.460022068300463,0.0414129110840438,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Núcleo Bandeirante,88.0,2313400,0.0467607625953742,3.803924958934901,0.007221158865495,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Park Way,37.0,2034500,0.0398156264318584,1.8186286556893587,0.0027840612493474,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Riacho Fundo I,112.0,3529100,0.0770339860947865,3.173613669207447,0.0093092048025056,0.404141175711151,0.282473072758494,0.2128300334802671,0.10660108699612,0.0820266490140635,2021
. Riacho Fundo II,109.0,3710800,0.081558658883997,2.937371995257088,0.0090481990603793,0.404141175711151,0.282473072758494,0.2128300334802671,0.10660108699612,0.0820266490140635,2021
. SIA,12.0,435600,0.0,2.7548209366391188,0.0006090133982947,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Jardim Botânico,172.0,3586500,0.0784633543837281,4.79576188484595,0.0145293196450321,0.5236203410449198,0.1548077741073356,0.1555693042410981,0.327382768765122,0.2967351242629128,2021
. Itapoã,456.0,5208900,0.1188641751499093,8.75424753786788,0.0392378632329911,0.5236203410449198,0.1548077741073356,0.1555693042410981,0.327382768765122,0.2967351242629128,2021
